name,age,gender,marital_status,cibil_score,monthly_income,employment_type,family_size,dependents,education_level
Travis Salinas,38,Male,Married,728,145853,Unemployed,3,0,Master
Todd Gross,25,Female,Married,614,135981,Salaried,4,0,High School
Richard Taylor,33,Male,Married,842,20336,Salaried,4,3,Master
Dana Roach,37,Female,Single,521,161895,Salaried,4,2,Master
Travis Lawrence,24,Female,Married,547,100439,Unemployed,1,0,Master
Lisa Schroeder,51,Male,Single,696,178052,Salaried,3,2,PhD
Ricardo Barnett,47,Female,Single,308,120822,Self-Employed,3,1,Master
Joseph Wilson,56,Female,Married,598,156246,Unemployed,6,4,High School
Jimmy Brown,27,Female,Single,583,159998,Self-Employed,5,0,High School
Thomas Ray,38,Male,Single,331,120262,Salaried,1,0,PhD
Jeffery Phillips,23,Female,Married,703,40807,Salaried,3,1,Master
Mark Bird,54,Female,Single,766,181391,Self-Employed,3,0,Master
Edwin Lewis,38,Male,Single,709,185281,Self-Employed,6,4,Master
Jonathan Cobb,27,Male,Single,571,29983,Unemployed,4,2,PhD
Sherry Owens,35,Female,Single,574,46734,Self-Employed,5,4,PhD
Jason Hampton,55,Male,Married,613,102859,Salaried,5,4,PhD
Tina Sanford,33,Female,Married,634,181991,Salaried,2,1,Master
Annette Jones,46,Male,Married,791,192700,Self-Employed,3,1,Master
Javier Barber,22,Male,Single,820,53729,Salaried,3,1,PhD
Derek Bentley,54,Female,Single,346,70196,Salaried,1,0,Master
Trevor Glass,31,Female,Single,367,42320,Self-Employed,1,0,High School
Michelle Edwards,27,Male,Single,499,140274,Salaried,1,0,High School
Anthony Hodges,21,Male,Single,767,196785,Unemployed,6,3,Bachelor
Vanessa Harrison,25,Male,Single,420,68332,Salaried,4,1,PhD
Jessica Mejia,24,Male,Single,546,88565,Self-Employed,6,3,PhD
Miss Jordan Vasquez DDS,41,Male,Married,570,173480,Unemployed,3,1,Master
Jeffrey Howard,22,Male,Single,781,72416,Salaried,6,0,PhD
Ronald Hall,34,Female,Married,382,78253,Unemployed,4,0,Bachelor
Timothy Mcclain,46,Male,Married,456,135093,Self-Employed,4,3,High School
Brandon Simpson,44,Female,Married,555,25645,Salaried,5,0,High School
Tiffany Williams,27,Male,Married,500,172146,Salaried,4,0,PhD
Monica West,30,Female,Single,803,82717,Self-Employed,2,1,Master
Katherine Smith,27,Female,Married,724,175519,Unemployed,6,4,High School
Vanessa Brown,25,Female,Single,802,138325,Salaried,6,2,High School
Erica Fitzgerald,57,Male,Single,846,48505,Self-Employed,5,4,Master
Douglas Mcintosh,56,Female,Single,342,66550,Self-Employed,1,0,High School
Ashley King,50,Male,Married,879,16606,Salaried,5,0,PhD
Julia Blanchard,53,Female,Married,582,139074,Salaried,1,0,PhD
Mrs. Misty Cooper,52,Male,Married,411,127259,Unemployed,3,0,Master
Steven Wagner,38,Female,Single,455,56950,Salaried,5,2,High School
Christopher Hill,51,Male,Married,725,42635,Salaried,6,0,High School
James Torres,51,Male,Married,561,85590,Unemployed,1,0,Bachelor
Jennifer Williamson,26,Female,Married,549,61825,Salaried,6,5,PhD
Catherine Brown,57,Female,Single,683,69386,Salaried,4,2,Bachelor
James Foster,26,Male,Married,602,197357,Unemployed,2,1,Bachelor
Emily Davis,47,Female,Single,560,124108,Unemployed,5,3,Bachelor
Austin Fox,29,Male,Married,816,199340,Unemployed,6,2,Bachelor
Gary Alexander,21,Male,Single,500,197944,Salaried,1,0,PhD
Jason Garcia,21,Female,Single,661,176213,Salaried,3,2,High School
Mary Murphy,54,Female,Married,882,164247,Self-Employed,3,1,Bachelor
John Jacobs,26,Female,Single,412,114273,Self-Employed,5,3,Master
Danielle Vaughn,60,Male,Married,535,146180,Salaried,1,0,Master
Kelly Hernandez,44,Female,Married,771,196612,Salaried,5,1,Master
Mrs. Jessica Smith MD,58,Male,Single,650,196114,Salaried,4,1,Bachelor
John Owens,32,Female,Single,686,184851,Self-Employed,2,1,Master
Cindy Fuentes,54,Male,Single,328,76711,Salaried,1,0,Master
Beth Welch MD,25,Male,Single,326,42840,Self-Employed,1,0,PhD
Sean Sullivan,36,Female,Single,326,97526,Salaried,6,4,PhD
Brenda Hudson,37,Female,Married,375,148342,Self-Employed,5,1,Master
Mary Mahoney,45,Male,Married,725,61443,Unemployed,2,1,PhD
Brittany Keller,23,Male,Married,748,170598,Unemployed,2,1,Bachelor
Erika Roberts,41,Female,Married,423,119633,Salaried,4,0,High School
Philip Brown,40,Male,Married,816,196976,Salaried,5,0,PhD
William Walker MD,26,Female,Single,871,83095,Unemployed,2,1,Master
Andrew Hart,57,Male,Single,396,48518,Salaried,2,0,High School
Dan Roberts,58,Female,Single,357,197403,Salaried,2,0,High School
Christine Wyatt,25,Female,Married,654,30752,Unemployed,6,5,High School
Kelly Santiago,38,Female,Married,630,186952,Self-Employed,6,1,PhD
Bobby Vargas,60,Male,Married,884,197663,Unemployed,3,1,High School
Philip Wheeler,52,Female,Married,852,122282,Self-Employed,6,4,High School
Sarah Byrd,29,Female,Married,841,110072,Salaried,3,1,Bachelor
Matthew Benson,44,Female,Married,575,58512,Unemployed,4,2,High School
Janet Hess,47,Female,Single,750,128094,Salaried,2,1,PhD
Shane Macdonald,38,Male,Married,382,21928,Unemployed,4,0,High School
Manuel Welch,31,Female,Married,516,150786,Self-Employed,4,2,High School
Eric Brooks,30,Female,Single,507,182207,Self-Employed,1,0,Master
Amy Huffman,27,Female,Married,882,130039,Salaried,6,5,Master
Sandra Willis,43,Female,Single,433,102019,Unemployed,1,0,Bachelor
Jasmine Reynolds,50,Male,Single,787,97433,Self-Employed,4,0,Bachelor
James Campos,57,Male,Married,668,149508,Salaried,5,2,High School
Alejandra Parsons,52,Male,Married,728,88708,Salaried,1,0,Master
John Buchanan,42,Female,Single,495,170935,Self-Employed,2,0,Bachelor
Zoe Schwartz,26,Female,Single,640,199740,Unemployed,6,5,PhD
Jessica Ramos,57,Female,Single,602,198059,Salaried,1,0,Master
Mindy Taylor,53,Male,Married,586,150617,Self-Employed,1,0,PhD
David Hobbs,27,Male,Single,669,74764,Salaried,6,2,Bachelor
Crystal Kim,53,Female,Single,733,135057,Self-Employed,4,0,High School
John Garcia,52,Male,Married,648,30862,Salaried,2,1,High School
Brandon Wolf,25,Male,Married,549,46888,Unemployed,5,1,High School
Nancy Ruiz,39,Female,Married,441,104663,Salaried,6,5,PhD
Valerie Stewart,23,Female,Single,439,181963,Unemployed,1,0,Master
John Valentine,50,Male,Married,828,56038,Salaried,2,0,PhD
Marie Woods,27,Female,Single,740,60604,Salaried,4,2,Bachelor
Joshua Bailey,45,Male,Single,719,83272,Self-Employed,5,3,PhD
Mary Garrett,56,Male,Single,831,38050,Unemployed,1,0,PhD
Timothy Hester,48,Male,Married,355,193678,Self-Employed,6,5,PhD
Danielle Hanna,53,Male,Single,593,57062,Unemployed,6,5,High School
Matthew Greene,22,Female,Married,593,57831,Salaried,6,0,High School
Nicole Reeves,51,Male,Single,409,66186,Self-Employed,4,3,Master
Jessica Bennett,31,Female,Single,682,174380,Self-Employed,6,3,Master
Jeremy Moreno,42,Male,Married,633,128549,Self-Employed,2,1,Master
Victor Campos,46,Female,Single,714,166669,Salaried,2,0,Bachelor
Stephanie Cantrell,40,Female,Married,633,80937,Self-Employed,6,2,Master
Ricky Ortega,56,Female,Married,570,67352,Unemployed,4,0,PhD
Katrina Guzman,31,Female,Married,747,187125,Unemployed,1,0,High School
Edward Cunningham,34,Female,Single,614,105784,Self-Employed,5,2,PhD
Joseph Simpson,32,Female,Married,845,103043,Unemployed,3,1,High School
Ms. Hannah Chan,23,Female,Married,332,15390,Self-Employed,3,1,Bachelor
David Montoya,31,Female,Married,435,192827,Salaried,5,3,High School
Carlos Watkins,32,Male,Married,334,70902,Salaried,2,1,Bachelor
Jeffrey Mckee,60,Male,Single,391,158928,Unemployed,3,1,Master
Joshua Hutchinson,40,Female,Married,480,35278,Unemployed,3,2,Bachelor
Eric Thomas,39,Male,Single,417,144492,Unemployed,1,0,Master
Ricky Evans,47,Female,Married,699,103189,Unemployed,6,0,High School
Dana Shaw,50,Female,Single,690,16490,Unemployed,5,3,PhD
Kenneth Smith,27,Female,Single,567,183664,Salaried,6,0,Master
John Freeman,37,Male,Married,657,116648,Salaried,2,1,High School
Lisa Pugh,45,Female,Married,437,172466,Self-Employed,1,0,PhD
Janet Miles,22,Male,Married,530,171724,Salaried,3,1,Bachelor
Joe Howe,58,Female,Single,737,164162,Unemployed,3,1,Master
Shannon Scott,50,Male,Married,570,125711,Self-Employed,4,3,High School
Mark Petty,44,Male,Single,894,109491,Self-Employed,2,0,High School
Carrie Bradley,29,Male,Married,658,129684,Unemployed,1,0,Bachelor
Jeffrey Nelson,56,Female,Married,557,85759,Salaried,6,1,PhD
Carla Stanley,24,Female,Single,590,117195,Unemployed,6,5,Bachelor
Joseph Salas,26,Male,Married,440,141297,Self-Employed,4,2,Master
Carl Davis,22,Female,Single,502,66794,Unemployed,2,0,PhD
Mark Berger,58,Female,Married,664,186568,Unemployed,2,0,PhD
Ruben Bradford,26,Female,Married,514,117751,Unemployed,5,4,Master
Jessica Young,49,Male,Married,301,37887,Unemployed,5,1,High School
Tammy Hill,54,Female,Married,370,89936,Salaried,3,2,Bachelor
Glenn Perez,33,Female,Married,828,82769,Salaried,5,0,PhD
Christina Wilson,39,Male,Single,459,164038,Salaried,3,0,Master
Brian Edwards,52,Male,Single,753,193282,Self-Employed,5,3,PhD
Teresa Holmes,38,Male,Single,467,26690,Self-Employed,3,2,Bachelor
Abigail Allen,30,Male,Married,305,83718,Self-Employed,4,3,PhD
Lee Jensen,27,Female,Single,819,145453,Unemployed,3,0,Bachelor
Amy Smith,47,Female,Married,546,99722,Self-Employed,2,0,Bachelor
Andrew Forbes,36,Female,Single,399,88773,Salaried,3,2,Bachelor
Sharon Turner,56,Female,Single,331,57513,Unemployed,6,1,High School
Alexander Williams,21,Female,Married,529,54636,Unemployed,4,3,PhD
Megan Jackson,46,Male,Married,537,28853,Unemployed,3,1,Master
Rebecca English,39,Female,Single,472,165428,Self-Employed,1,0,Master
Michelle Taylor,38,Female,Single,883,182049,Self-Employed,3,2,PhD
Erik Ibarra,44,Male,Married,313,194111,Self-Employed,3,2,High School
Kimberly Davis,52,Male,Single,315,27220,Unemployed,6,0,Bachelor
Christopher Hunt,28,Male,Married,414,173487,Salaried,6,1,High School
Robert Hopkins,44,Male,Married,714,154265,Unemployed,3,0,Bachelor
Marilyn Price,39,Male,Married,338,28622,Unemployed,5,4,Master
Raymond Dorsey,37,Female,Married,634,66369,Salaried,1,0,Master
Raven Castillo,58,Male,Single,335,92437,Salaried,5,3,PhD
Virginia Wilson,22,Male,Single,882,45220,Self-Employed,1,0,Master
Michael Obrien,48,Male,Single,306,119641,Salaried,1,0,Master
Wesley Dalton,42,Male,Single,811,179835,Unemployed,2,0,High School
Daniel Newman,43,Female,Single,302,82333,Self-Employed,5,1,High School
Hayley Gonzalez,54,Male,Single,644,23330,Unemployed,5,1,Bachelor
Kathleen Wells,28,Female,Single,687,41034,Unemployed,1,0,Master
David Sanchez,58,Male,Single,424,194145,Self-Employed,3,0,High School
John Browning,40,Female,Single,889,199261,Self-Employed,1,0,High School
Faith Cooley,39,Male,Single,324,36336,Self-Employed,2,1,Bachelor
John Tran,38,Female,Married,367,36667,Self-Employed,4,1,High School
Rita Nelson,45,Male,Married,818,83227,Salaried,2,1,Master
Gabriella Brown,60,Male,Single,301,17789,Unemployed,1,0,High School
Nicole Williams,41,Female,Married,812,77382,Unemployed,5,2,Master
Emily Jensen,37,Male,Single,320,78909,Self-Employed,1,0,High School
Joel Cooper,42,Female,Married,821,112545,Salaried,2,0,Bachelor
Ronnie Wheeler,21,Female,Single,608,28616,Salaried,3,1,High School
Andrew Cortez,59,Female,Single,530,20630,Self-Employed,2,0,Master
Daniel Meyers,33,Male,Single,310,171953,Self-Employed,1,0,Bachelor
Corey Weaver,51,Female,Single,860,48503,Unemployed,1,0,Master
William Charles,41,Female,Married,763,162042,Self-Employed,4,1,Bachelor
Patricia Brooks,55,Male,Single,824,183485,Self-Employed,3,0,PhD
Samuel Ortiz,47,Female,Single,384,151444,Salaried,3,0,Master
Rhonda Parsons,24,Male,Single,805,142184,Unemployed,4,0,High School
Janet Green,37,Female,Single,692,80664,Unemployed,5,0,Master
Melissa Cox,41,Male,Single,395,67405,Self-Employed,2,1,Master
Lisa Thompson,24,Female,Married,721,172746,Self-Employed,1,0,PhD
Ms. Megan Smith MD,27,Female,Married,522,85107,Salaried,4,1,High School
Debbie Higgins,23,Male,Married,405,35381,Self-Employed,6,0,High School
John Richardson,33,Female,Single,480,124173,Unemployed,4,0,Bachelor
Robert White,22,Female,Married,544,99314,Salaried,3,2,PhD
Tracy Williams,55,Male,Married,356,50793,Self-Employed,4,0,Master
Jeffery Watkins,54,Female,Married,566,114590,Self-Employed,4,0,High School
James Moore,41,Female,Married,553,194866,Self-Employed,3,2,PhD
Miranda Rodriguez,31,Male,Married,494,87812,Salaried,4,1,PhD
Tammy Hodges,49,Male,Married,372,96013,Unemployed,2,1,PhD
Crystal Wheeler,38,Female,Single,763,79961,Salaried,2,0,PhD
Ashley Huerta,29,Female,Married,761,105380,Salaried,1,0,High School
Christopher Mata,30,Male,Single,555,177889,Unemployed,1,0,High School
Michelle Reid MD,39,Female,Married,455,40330,Salaried,2,0,Bachelor
Adam Ross,53,Male,Married,524,23461,Unemployed,2,0,High School
Jennifer Sanchez,29,Male,Married,802,162445,Salaried,1,0,Master
Brenda Cooley,43,Female,Single,580,27484,Self-Employed,4,3,Bachelor
Gloria Barnett DDS,44,Male,Single,805,40955,Salaried,3,0,Master
Jennifer Mcmillan,45,Female,Single,561,50467,Unemployed,2,1,PhD
Ryan Pittman,34,Male,Married,523,190583,Self-Employed,5,0,Master
Tonya Valenzuela,39,Male,Married,733,139667,Unemployed,2,1,Bachelor
Jesse Sherman,43,Male,Single,877,99084,Self-Employed,4,0,PhD
Haley Nelson,21,Female,Single,757,185957,Salaried,1,0,PhD
Kathleen Cook,30,Male,Married,378,180801,Salaried,6,4,Master
Robert Palmer,46,Female,Married,610,81090,Salaried,4,3,High School
Jasmine Peck,49,Female,Single,358,15677,Self-Employed,4,2,Bachelor
Darren Robinson,33,Male,Single,853,33470,Self-Employed,1,0,Bachelor
Andrew Bradford,46,Female,Single,559,86582,Salaried,4,3,Master
Trevor Stewart,23,Female,Married,639,141568,Salaried,4,0,Master
Joseph Thompson,51,Female,Married,766,66699,Self-Employed,6,1,Bachelor
Brian Fowler,44,Male,Single,726,184677,Unemployed,5,4,High School
Matthew Bradley,22,Female,Married,779,32515,Salaried,6,2,Bachelor
Debra Ray,42,Male,Married,313,49560,Salaried,4,3,High School
Sara Smith,21,Female,Married,766,63390,Salaried,1,0,High School
Carlos Smith,28,Female,Married,821,113652,Self-Employed,4,2,Bachelor
Allison Stevens,28,Male,Single,532,58490,Salaried,3,0,Bachelor
Rebecca Martin,57,Male,Single,816,195852,Salaried,2,0,PhD
Bryan Richards,44,Female,Single,614,109627,Unemployed,1,0,High School
Sandra Martinez,29,Male,Married,597,190449,Self-Employed,6,2,High School
Stephen Mccarthy,27,Female,Married,712,26429,Unemployed,4,0,PhD
Denise Johnson,36,Male,Single,508,44352,Unemployed,1,0,High School
Nicholas Cooper,44,Male,Single,372,43398,Self-Employed,2,0,PhD
Matthew Griffin,32,Female,Single,528,83618,Unemployed,2,1,High School
Sarah Wallace,33,Male,Married,843,145337,Self-Employed,1,0,Master
Thomas Stanton,23,Female,Married,462,99726,Self-Employed,5,0,High School
Dr. Brandon Dyer,36,Male,Single,763,26621,Salaried,4,0,Bachelor
Frances Walsh,31,Female,Single,309,26303,Unemployed,4,3,High School
Christopher Webb,40,Male,Single,358,130840,Unemployed,6,4,High School
Roberto Knox,22,Male,Single,859,160603,Unemployed,4,3,Master
Joseph Buchanan,36,Male,Single,305,20099,Salaried,2,0,Master
Wendy Monroe,60,Female,Single,338,142358,Unemployed,2,1,Master
Michael Johnson,46,Male,Married,548,123794,Unemployed,2,0,Bachelor
Steven Cunningham,55,Male,Married,860,156961,Salaried,1,0,Bachelor
Sarah Bridges,41,Male,Single,340,172004,Salaried,2,1,PhD
Nancy Lloyd,27,Female,Single,614,66310,Self-Employed,6,3,Master
Patricia Owens,27,Female,Married,727,21560,Self-Employed,4,0,PhD
Taylor Long,46,Female,Single,481,196288,Unemployed,6,2,Bachelor
Kelsey Robinson,34,Female,Married,533,93863,Salaried,5,3,High School
Colin Miller,45,Female,Married,765,142551,Self-Employed,6,0,High School
Ronald Spence,40,Male,Married,414,70027,Unemployed,6,3,Master
Steven Foster,40,Male,Married,642,111803,Unemployed,3,1,Master
Jeffery Taylor,54,Female,Married,747,16432,Self-Employed,2,1,Bachelor
Mary Barrett,56,Male,Single,326,95609,Unemployed,4,1,Master
Stephanie Hernandez,25,Female,Single,525,28827,Unemployed,4,0,High School
Stephanie Johnson,48,Female,Married,345,123209,Salaried,6,5,PhD
Brittany Flowers,59,Male,Married,427,137887,Self-Employed,6,2,PhD
Donald Boyle,28,Male,Married,426,126582,Self-Employed,5,3,High School
Julie Fields,40,Female,Single,708,198263,Self-Employed,3,1,High School
Pamela Schmidt,24,Male,Single,371,86405,Unemployed,6,5,PhD
Kayla Downs,56,Female,Single,756,72364,Salaried,2,0,PhD
Anne Harris,45,Female,Single,856,77978,Self-Employed,5,0,PhD
Eric Morrison,43,Male,Married,343,185976,Salaried,6,1,Master
Lauren Williamson,57,Female,Married,831,175170,Salaried,4,2,High School
Jessica Jones,23,Male,Single,436,178598,Self-Employed,1,0,PhD
Christina Rodriguez,25,Female,Single,772,143245,Self-Employed,3,2,Bachelor
Susan Smith,42,Female,Married,464,59431,Self-Employed,6,1,Bachelor
Isabella Reid,21,Male,Married,649,176404,Salaried,2,0,PhD
Melanie White,37,Male,Single,503,149901,Self-Employed,1,0,High School
Jennifer Sherman,57,Female,Married,306,101461,Salaried,2,1,High School
John Hamilton,25,Female,Married,700,17636,Salaried,2,0,Bachelor
Joseph Bowers,42,Female,Single,304,174048,Self-Employed,5,0,PhD
Kaitlyn Hernandez,40,Female,Married,480,174143,Salaried,4,2,Master
Chelsea Baker,60,Male,Married,693,15575,Self-Employed,3,0,PhD
Morgan Williams,53,Female,Single,703,118988,Self-Employed,2,1,PhD
Kathleen Kidd,34,Male,Single,675,171800,Self-Employed,3,0,Master
Walter Norman,35,Female,Married,883,72740,Self-Employed,4,1,PhD
Dylan Miles,40,Male,Married,881,46456,Salaried,2,0,Master
Jose Shaffer,37,Male,Single,724,28741,Salaried,2,1,Master
Brittany Evans,38,Male,Single,404,158301,Self-Employed,5,1,PhD
Angela Cooper,55,Female,Married,859,70513,Self-Employed,3,2,Master
Jamie Richardson,56,Male,Single,517,169571,Unemployed,5,1,High School
Mrs. Alexa Moore,31,Male,Married,811,67007,Unemployed,5,4,PhD
Maria Cox,22,Female,Single,463,75431,Salaried,4,1,Master
Carolyn Smith,27,Female,Married,314,59618,Unemployed,6,5,PhD
Kathleen Mitchell,56,Female,Single,574,72596,Unemployed,1,0,High School
Katrina Mack MD,56,Male,Single,380,46341,Salaried,2,0,High School
Michael Riley,24,Male,Single,730,135603,Salaried,4,2,Bachelor
Amanda Weaver,32,Female,Single,331,184940,Unemployed,4,0,PhD
Edward Fuller,50,Female,Single,702,23256,Self-Employed,4,3,PhD
George West,59,Female,Married,700,195856,Self-Employed,3,1,Bachelor
Donna Nunez,32,Male,Single,522,141544,Unemployed,5,0,Bachelor
Brenda Stone,25,Female,Single,882,21721,Salaried,1,0,High School
Benjamin Rodriguez,22,Female,Married,823,123935,Salaried,6,0,High School
William Oliver,54,Male,Single,489,96232,Self-Employed,1,0,Bachelor
Matthew Vaughn,59,Male,Single,856,139159,Salaried,1,0,Master
Travis Gould,59,Male,Single,881,66864,Salaried,3,1,High School
Tanner Gray,21,Female,Married,762,157881,Unemployed,2,1,Bachelor
Richard Contreras,42,Female,Single,423,111308,Self-Employed,5,2,PhD
Richard Valencia,56,Female,Married,674,95740,Salaried,2,1,PhD
Nathan Scott,55,Male,Married,381,76599,Unemployed,4,1,PhD
Debra Chavez,45,Female,Married,778,112444,Self-Employed,1,0,Master
Jake Johnson,47,Female,Single,815,94825,Self-Employed,2,1,PhD
Stephanie Robinson,31,Female,Married,575,189490,Salaried,3,2,PhD
Cody Martinez,52,Male,Single,318,91391,Salaried,5,4,Master
Carla Meadows,51,Female,Single,597,96792,Unemployed,6,4,High School
Karen Simmons,43,Male,Married,723,93216,Salaried,3,1,Bachelor
Kenneth Marshall,24,Female,Single,430,24895,Self-Employed,5,3,PhD
Angela Aguilar,57,Female,Single,720,159743,Salaried,6,4,Master
Nicole Allen,47,Female,Married,504,73573,Self-Employed,1,0,Master
Cheryl Knight,45,Male,Single,302,174902,Unemployed,6,0,High School
Jonathan Clark,37,Female,Married,894,191395,Unemployed,3,1,High School
Nicole Boyd,30,Female,Married,677,90595,Salaried,5,3,PhD
Amanda Irwin,41,Male,Married,853,72872,Self-Employed,2,0,Master
Thomas Porter,43,Female,Single,388,120645,Salaried,5,3,High School
Andre Walters,58,Female,Married,798,135435,Salaried,6,5,High School
Lori Carter,52,Female,Single,437,157396,Salaried,6,2,PhD
Joan Newman,53,Female,Married,790,165830,Self-Employed,5,0,PhD
Michael Wright,26,Female,Married,626,134620,Unemployed,4,3,PhD
Elizabeth Bradley,24,Male,Married,431,44707,Self-Employed,3,2,PhD
Michael Williams,30,Male,Married,456,23758,Self-Employed,2,1,Bachelor
David Jones,52,Female,Single,563,113180,Salaried,3,2,Bachelor
Nicole Black,22,Male,Married,499,92171,Unemployed,4,2,Bachelor
Amanda Case,28,Female,Single,456,135878,Self-Employed,5,1,PhD
Michelle Dunlap,57,Male,Married,882,155659,Unemployed,4,0,High School
Jessica Coffey,44,Female,Single,856,102702,Self-Employed,5,0,Bachelor
Karen Roman,21,Male,Married,889,151380,Unemployed,4,2,Master
Cory Graham III,56,Male,Married,728,198325,Self-Employed,4,1,Bachelor
Mike Erickson,50,Female,Married,740,182367,Unemployed,6,1,Bachelor
Christopher Lynch,25,Female,Single,793,60396,Self-Employed,6,4,Master
Tamara Gray,46,Female,Married,751,28772,Self-Employed,2,0,High School
Jason Bell,36,Female,Married,699,182918,Unemployed,6,1,PhD
Christina Torres,57,Female,Single,857,179168,Unemployed,1,0,PhD
Michael Hall DDS,26,Male,Married,568,81294,Salaried,5,4,High School
Kerri Kelley,54,Female,Single,324,121877,Unemployed,5,0,PhD
David Henderson,57,Female,Single,349,19477,Self-Employed,3,2,High School
